	galM	glk	pgm	pgi	pfkA_2	pfkB	fbp	fbaB	gapC	gpmA	gpmB	pykA	pykF	ppsA	zwf	pgl	gnd	rpe	rpiA	rpiB	tktA	tktB	talA	talB	"WT, 0.1h-1"	"WT, 0.4h-1"	"WT, 0.5h-1"	"WT, 0.7h-1"
Glucose	5.99E-03	7.43E-03	8.96E-03	1.27E-01	9.83E-03	1.04E-02	7.24E-03	8.79E-02	4.65E-03	4.94E-03	1.22E-02	1.12E-02	1.97E-03	0.00E+00	9.59E-03	6.95E-03	1.51E-02	3.45E-03	9.30E-03	9.01E-03	5.70E-03	8.53E-03	9.92E-03	9.54E-03	3.31E-03	4.55E-03	4.07E-03	6.79E-01
Ethanol	0.00E+00	0.00E+00	0.00E+00	2.35E-02	0.00E+00	9.00E-03	0.00E+00	1.50E-03	1.80E-02	1.65E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.50E-02	0.00E+00	9.00E-03	3.24E-01	0.00E+00	7.25E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.00E-03	4.90E-01	2.48E-01
Acetate	6.49E-03	3.71E-03	5.90E-03	4.17E-03	3.22E-03	5.34E-03	3.50E-03	4.64E-03	3.69E-03	0.00E+00	0.00E+00	8.94E-03	4.95E-03	6.10E-03	0.00E+00	1.44E-02	5.06E-03	8.50E-03	5.80E-03	0.00E+00	9.50E-03	0.00E+00	4.90E-03	5.32E-03	4.79E-03	2.42E-02	1.64E+00	3.12E+00
D-Lactate	0.00E+00	2.13E-04	1.42E-04	0.00E+00	0.00E+00	0.00E+00	4.98E-04	9.24E-04	4.98E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.20E-03	0.00E+00	1.05E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.44E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.68E-03
L-Lactate	0.00E+00	1.36E-03	0.00E+00	2.15E-03	9.87E-04	1.29E-03	7.89E-04	1.29E-03	2.51E-03	2.87E-04	4.30E-03	2.75E-03	1.08E-03	1.87E-03	6.34E-03	6.82E-03	1.15E-03	3.37E-02	3.09E-02	1.14E-02	2.15E-03	0.00E+00	4.30E-03	1.55E-03	1.00E-03	1.00E-03	0.00E+00	1.79E-04
Succinate	2.27E-02	5.85E-03	2.92E-02	7.31E-03	8.77E-03	8.14E-02	0.00E+00	0.00E+00	2.44E-03	1.61E-02	0.00E+00	1.46E-02	4.30E-03	0.00E+00	0.00E+00	0.00E+00	1.95E-03	2.27E-02	0.00E+00	3.98E-02	0.00E+00	0.00E+00	1.15E-02	1.04E-02	6.82E-03	1.61E-02	0.00E+00	0.00E+00
Pyruvate	6.28E-03	4.95E-03	2.73E-03	2.92E-03	1.78E-03	1.93E-03	4.06E-03	2.92E-03	6.59E-03	4.06E-03	2.06E-03	3.39E-03	1.32E-03	4.05E-03	4.29E-03	0.00E+00	1.88E-03	8.67E-03	7.60E-03	9.50E-03	6.19E-03	4.21E-03	0.00E+00	1.65E-03	1.29E-03	2.18E-03	3.67E-03	9.02E-03
Formate	0.00E+00	1.95E-02	0.00E+00	1.68E-02	2.42E-04	0.00E+00	0.00E+00	0.00E+00	5.23E-02	0.00E+00	0.00E+00	8.31E-03	2.82E-04	0.00E+00	0.00E+00	1.93E-02	2.59E-02	3.62E-02	8.04E-03	1.94E-03	5.73E-03	4.36E-03	4.84E-04	1.21E-03	0.00E+00	1.31E-02	4.22E-01	1.29E-01
